Team,Reach R32 %,Reach R16 %,Reach QF %,Reach SF %,Reach Final %,Win Tournament %
Argentina,90.68,65.79,46.61,31.81,20.82,13.54
Spain,94.1,68.33,47.38,31.430000000000003,20.330000000000002,12.370000000000001
France,86.14,60.12,40.5,26.279999999999998,16.259999999999998,9.76
England,87.86,59.48,38.96,24.310000000000002,14.610000000000001,8.34
Portugal,84.91,56.93,36.43,21.91,12.76,7.08
Netherlands,80.51,51.870000000000005,31.31,17.96,9.51,4.9799999999999995
Germany,82.87,52.12,31.39,17.5,9.229999999999999,4.91
Brazil,80.91000000000001,50.06,29.82,16.6,8.76,4.47
Belgium,91.03,54.82,30.669999999999998,16.86,8.77,4.08
Colombia,90.7,53.879999999999995,30.17,15.75,8.0,3.93
Ecuador,88.29,50.05,26.529999999999998,13.18,6.279999999999999,2.82
Japan,78.86,45.660000000000004,24.85,12.35,6.069999999999999,2.79
Mexico,79.22,43.45,23.22,11.91,5.5,2.4
Morocco,77.94,44.37,23.91,12.1,5.37,2.23
Switzerland,93.15,47.14,22.900000000000002,10.77,4.569999999999999,1.83
Norway,87.98,45.61,22.79,10.18,4.34,1.7500000000000002
Croatia,81.83,43.830000000000005,21.78,9.950000000000001,4.3,1.66
Uruguay,87.66000000000001,44.82,21.85,9.180000000000001,3.6900000000000004,1.39
Austria,80.07,42.33,20.53,9.08,3.5000000000000004,1.25
Australia,76.48,36.370000000000005,16.619999999999997,6.859999999999999,2.87,1.0699999999999998
Turkey,84.84,40.73,18.42,7.920000000000001,2.98,0.96
Algeria,62.529999999999994,32.11,14.299999999999999,5.76,2.13,0.75
Iran,58.120000000000005,28.37,12.509999999999998,5.19,1.9900000000000002,0.6799999999999999
Canada,68.61,30.91,13.100000000000001,5.0,1.9900000000000002,0.6
Paraguay,58.040000000000006,27.6,11.98,4.72,1.72,0.58
Scotland,75.14999999999999,32.93,12.42,4.42,1.51,0.53
United States,50.81,24.02,10.36,4.26,1.59,0.51
South Korea,73.67,32.690000000000005,13.48,4.87,1.67,0.47000000000000003
Senegal,56.699999999999996,27.52,11.63,4.54,1.68,0.44
Ivory Coast,59.209999999999994,25.380000000000003,9.51,3.58,1.0999999999999999,0.35000000000000003
Egypt,74.27,30.220000000000002,11.16,3.52,0.97,0.3
Panama,68.54,26.369999999999997,9.16,2.8400000000000003,0.91,0.27
Czech Republic,80.96,30.36,10.84,3.6900000000000004,1.03,0.25
Uzbekistan,60.629999999999995,25.71,9.56,3.29,1.06,0.16
Sweden,53.769999999999996,20.02,6.460000000000001,2.1,0.5,0.13999999999999999
Tunisia,56.64,19.06,5.55,1.51,0.33,0.12
New Zealand,42.230000000000004,15.21,4.52,1.32,0.31,0.06
DR Congo,29.360000000000003,9.45,2.5,0.67,0.16,0.04
Qatar,57.010000000000005,14.67,3.53,0.7100000000000001,0.08,0.03
South Africa,35.699999999999996,9.65,2.55,0.5,0.12,0.03
Jordan,32.48,9.34,2.44,0.48,0.1,0.03
Bosnia and Herzegovina,45.73,12.509999999999998,3.1199999999999997,0.5700000000000001,0.13,0.01
Haiti,35.08,9.47,2.06,0.47000000000000003,0.06999999999999999,0.01
Curaçao,36.8,8.92,1.55,0.22,0.04,0.01
Iraq,34.79,10.95,2.82,0.63,0.11,0.01
Saudi Arabia,49.45,14.979999999999999,3.46,0.84,0.13999999999999999,0.01
Cape Verde,29.04,7.02,1.31,0.15,0.01,0.0
Ghana,28.65,6.800000000000001,1.48,0.26,0.03,0.0
